scenario,year,carbon_price_USD_tCO2,free_allocation_MtCO2,scope1_emissions_MtCO2,net_emissions_MtCO2,ets_cost_million_USD,marginal_carbon_cost_USD_tCO2,effective_carbon_price_USD_tCO2
NGFS_NetZero2050,2025,50,75.0,81.03000000000002,6.030000000000015,301.5000000000002,49.999999999999915,50
NGFS_NetZero2050,2026,70,70.5,80.61,10.11,707.6999999999998,69.99999999999997,70
NGFS_NetZero2050,2027,90,66.0,80.19210000000001,14.19210000000001,1277.2890000000002,89.99999999999994,90
NGFS_NetZero2050,2028,110,61.49999999999999,67.89628950000001,6.396289500000016,703.5918450000014,109.99999999999996,110
NGFS_NetZero2050,2029,130,57.0,67.48255805250001,10.48255805250001,1362.732546825001,129.99999999999994,130
NGFS_NetZero2050,2030,150,52.5,67.0708952622375,14.5708952622375,2185.6342893356245,150.0,150
NGFS_NetZero2050,2031,165,51.00000000000001,51.541290785926314,0.5412907859263072,89.312979677841,165.00000000000057,165
NGFS_NetZero2050,2032,180,49.5,49.49999999999996,0.0,-9.263157305150412e-12,0.0,0
NGFS_NetZero2050,2033,195,48.0,48.000000000000036,3.552713678800501e-14,0.0,0.0,195
NGFS_NetZero2050,2034,210,46.5,47.354724582035026,0.8547245820350255,179.4921622273544,209.99999999999886,210
NGFS_NetZero2050,2035,225,45.0,45.32833186551867,0.32833186551867044,73.87466974169983,224.9999999999969,225
NGFS_NetZero2050,2036,240,43.5,44.37477441671738,0.8747744167173792,209.94586001216774,239.99999999999628,240
NGFS_NetZero2050,2037,255,42.00000000000001,43.42337949200212,1.4233794920021126,362.9617704605368,254.99999999999864,255
NGFS_NetZero2050,2038,270,40.5,42.790834201903806,2.290834201903806,618.5252345140258,269.9999999999992,270
NGFS_NetZero2050,2039,285,39.0,39.00000000000001,7.105427357601002e-15,0.0,0.0,285
NGFS_NetZero2050,2040,300,37.5,37.50000000000001,7.105427357601002e-15,0.0,0.0,300
NGFS_NetZero2050,2041,315,36.0,36.0,0.0,0.0,0.0,0
NGFS_NetZero2050,2042,330,34.5,34.5,0.0,0.0,0.0,0
NGFS_NetZero2050,2043,345,33.0,33.282890425057786,0.2828904250577864,97.59719664493538,344.99999999999676,345
NGFS_NetZero2050,2044,360,31.5,31.500000000000007,7.105427357601002e-15,0.0,0.0,360
NGFS_NetZero2050,2045,375,30.0,30.000000000000004,3.552713678800501e-15,0.0,0.0,375
NGFS_NetZero2050,2046,390,28.5,29.167343941352545,0.667343941352545,260.26413712749246,389.9999999999999,390
NGFS_NetZero2050,2047,405,27.0,27.0,0.0,0.0,0.0,0
NGFS_NetZero2050,2048,420,25.500000000000004,25.537707809905314,0.037707809905310086,15.837280160230558,420.0000000000085,420
NGFS_NetZero2050,2049,435,24.0,25.0688948821099,1.0688948821098982,464.9692737178054,434.9999999999997,435
NGFS_NetZero2050,2050,450,22.5,24.696500407699343,2.196500407699343,988.4251834647037,449.99999999999966,450
NGFS_Below2C,2025,30,75.0,81.03000000000002,6.030000000000015,180.9000000000003,29.999999999999975,30
NGFS_Below2C,2026,40,70.5,80.61,10.11,404.4000000000001,40.000000000000014,40
NGFS_Below2C,2027,50,66.0,80.19210000000001,14.19210000000001,709.6050000000004,49.999999999999986,50
NGFS_Below2C,2028,60,61.49999999999999,79.7762895,18.27628950000001,1096.5773700000004,59.99999999999999,60
NGFS_Below2C,2029,70,57.0,79.36255805250002,22.36255805250002,1565.3790636750011,69.99999999999999,70
NGFS_Below2C,2030,80,52.5,78.95089526223751,26.45089526223751,2116.0716209790003,79.99999999999999,80
NGFS_Below2C,2031,88,51.00000000000001,78.54129078592632,27.541290785926314,2423.633589161516,88.0,88
NGFS_Below2C,2032,96,49.5,78.13373433199669,28.633734331996692,2748.8384958716815,95.99999999999999,96
NGFS_Below2C,2033,104,48.0,77.7282156603367,29.7282156603367,3091.734428675017,104.00000000000001,104
NGFS_Below2C,2034,112,46.5,77.32472458203503,30.82472458203503,3452.3691531879226,111.99999999999997,112
NGFS_Below2C,2035,120,45.0,62.07325095912483,17.073250959124827,2048.7901150949792,120.0,120
NGFS_Below2C,2036,128,43.5,61.67378470432921,18.173784704329208,2326.2444421541386,128.0,128
NGFS_Below2C,2037,136,42.00000000000001,58.54337949200218,16.543379492002174,2249.899610912295,135.99999999999994,136
NGFS_Below2C,2038,144,40.5,57.91083420190352,17.41083420190352,2507.160125074106,143.99999999999994,144
NGFS_Below2C,2039,152,39.0,57.51733003089402,18.517330030894023,2814.634164695891,151.99999999999997,152
NGFS_Below2C,2040,160,37.5,57.12579338073956,19.62579338073956,3140.1269409183287,159.99999999999997,160
NGFS_Below2C,2041,168,36.0,56.73621441383584,20.73621441383584,3483.68402152442,167.99999999999997,168
NGFS_Below2C,2042,176,34.5,53.81846617454435,19.318466174544348,3400.050046719806,176.0,176
NGFS_Below2C,2043,184,33.0,52.99289042505781,19.99289042505781,3678.691838210637,184.0,184
NGFS_Below2C,2044,192,31.5,52.60912597293256,21.10912597293256,4052.95218680305,191.99999999999994,192
NGFS_Below2C,2045,200,30.0,52.227280343067875,22.227280343067875,4445.456068613574,199.99999999999997,200
NGFS_Below2C,2046,208,28.5,51.847343941352534,23.347343941352534,4856.247539801328,208.00000000000003,208
NGFS_Below2C,2047,216,27.0,51.46930722164578,24.469307221645778,5285.370359875486,215.99999999999994,216
NGFS_Below2C,2048,224,25.500000000000004,51.09316068553754,25.593160685537537,5732.867993560407,223.99999999999994,224
NGFS_Below2C,2049,232,24.0,50.718894882109865,26.718894882109865,6198.783612649488,231.99999999999994,232
NGFS_Below2C,2050,240,22.5,50.34650040769931,27.84650040769931,6683.160097847833,239.99999999999994,240
NGFS_NDCs,2025,15,75.0,83.34,8.340000000000003,125.1000000000001,15.000000000000004,15
NGFS_NDCs,2026,20,70.5,83.25,12.75,254.99999999999983,19.999999999999986,20
NGFS_NDCs,2027,25,66.0,80.19210000000001,14.19210000000001,354.80250000000007,24.999999999999986,25
NGFS_NDCs,2028,30,61.49999999999999,79.7762895,18.27628950000001,548.2886850000001,29.99999999999999,30
NGFS_NDCs,2029,35,57.0,79.36255805250002,22.36255805250002,782.6895318375003,34.999999999999986,35
NGFS_NDCs,2030,40,52.5,78.95089526223751,26.45089526223751,1058.0358104895,39.99999999999998,40
NGFS_NDCs,2031,43,51.00000000000001,78.54129078592632,27.541290785926314,1184.2755037948314,42.999999999999986,43
NGFS_NDCs,2032,46,49.5,78.13373433199669,28.633734331996692,1317.1517792718473,45.99999999999998,46
NGFS_NDCs,2033,49,48.0,77.7282156603367,29.7282156603367,1456.682567356498,48.999999999999986,49
NGFS_NDCs,2034,52,46.5,77.32472458203503,30.82472458203503,1602.8856782658208,51.99999999999997,52
NGFS_NDCs,2035,55,45.0,76.92325095912484,31.923250959124843,1755.7788027518657,54.99999999999997,55
NGFS_NDCs,2036,58,43.5,76.52378470432922,33.023784704329216,1915.379512851094,57.999999999999986,58
NGFS_NDCs,2037,61,42.00000000000001,76.12631578080757,34.126315780807566,2081.7052626292616,61.0,61
NGFS_NDCs,2038,64,40.5,75.73083420190353,35.230834201903534,2254.7733889218257,63.999999999999986,64
NGFS_NDCs,2039,67,39.0,75.33733003089404,36.33733003089404,2434.6011120698995,66.99999999999999,67
NGFS_NDCs,2040,70,37.5,74.94579338073957,37.44579338073957,2621.2055366517698,70.0,70
NGFS_NDCs,2041,73,36.0,74.55621441383585,38.556214413835846,2814.603652210016,72.99999999999999,73
NGFS_NDCs,2042,76,34.5,74.16858334176666,39.66858334176666,3014.8123339742665,76.0,76
NGFS_NDCs,2043,79,33.0,73.78289042505781,40.782890425057815,3221.8483435795665,78.99999999999999,79
NGFS_NDCs,2044,82,31.5,73.39912597293257,41.899125972932566,3435.7283297804693,81.99999999999997,82
NGFS_NDCs,2045,85,30.0,73.01728034306788,43.01728034306788,3656.468829160769,84.99999999999997,85
NGFS_NDCs,2046,88,28.5,72.63734394135254,44.13734394135254,3884.0862668390237,88.0,88
NGFS_NDCs,2047,91,27.0,72.25930722164578,45.259307221645784,4118.596957169765,90.99999999999997,91
NGFS_NDCs,2048,94,25.500000000000004,71.88316068553755,46.38316068553755,4360.017104440528,93.99999999999997,94
NGFS_NDCs,2049,97,24.0,71.50889488210987,47.50889488210987,4608.362803564656,96.99999999999997,97
NGFS_NDCs,2050,100,22.5,71.13650040769932,48.636500407699316,4863.65004076993,99.99999999999996,100
